grafo,versao_algoritmo,rodada,tempo_execucao,qtde_nos_ant,qtde_nos_dps,grau_max_ant,grau_max_dps,r_ant,r_dps
pl_grg_16000_2.al,1,0,25.005340576171875,15943,10292,82,74,36842,36842
pl_grg_16000_2.al,1,1,24.586915969848633,15943,10292,82,74,36842,36842
pl_grg_16000_2.al,1,2,24.005413055419922,15943,10292,82,74,36842,36842
pl_grg_16000_2.al,1,3,26.006698608398438,15943,10292,82,74,36842,36842
pl_grg_16000_2.al,1,4,25.005340576171875,15943,10292,82,74,36842,36842
pl_grg_16000_3.al,1,0,24.004697799682617,15943,10270,74,68,36842,36842
pl_grg_16000_3.al,1,1,24.005413055419922,15943,10270,74,68,36842,36842
pl_grg_16000_3.al,1,2,25.00438690185547,15943,10270,74,68,36842,36842
pl_grg_16000_3.al,1,3,30.005455017089844,15943,10270,74,68,36842,36842
pl_grg_16000_3.al,1,4,27.005910873413086,15943,10270,74,68,36842,36842
pl_grg_16000_4.al,1,0,29.006242752075195,15943,10366,82,80,36842,36842
pl_grg_16000_4.al,1,1,31.006813049316406,15943,10366,82,80,36842,36842
pl_grg_16000_4.al,1,2,29.0071964263916,15943,10366,82,80,36842,36842
pl_grg_16000_4.al,1,3,28.005599975585938,15943,10366,82,80,36842,36842
pl_grg_16000_4.al,1,4,28.007030487060547,15943,10366,82,80,36842,36842
pl_grg_32000_0.al,1,0,47.01042175292969,31925,20526,105,99,36842,36842
pl_grg_32000_0.al,1,1,49.0114688873291,31925,20526,105,99,36842,36842
pl_grg_32000_0.al,1,2,47.01042175292969,31925,20526,105,99,36842,36842
pl_grg_32000_0.al,1,3,46.010494232177734,31925,20526,105,99,36842,36842
pl_grg_32000_0.al,1,4,50.01115798950195,31925,20526,105,99,36842,36842
pl_grg_32000_1.al,1,0,53.01165580749512,31925,20689,80,76,36842,36842
pl_grg_32000_1.al,1,1,53.01189422607422,31925,20689,80,76,36842,36842
pl_grg_32000_1.al,1,2,58.013200759887695,31925,20689,80,76,36842,36842
pl_grg_32000_1.al,1,3,55.01222610473633,31925,20689,80,76,36842,36842
pl_grg_32000_1.al,1,4,55.01222610473633,31925,20689,80,76,36842,36842
pl_grg_32000_2.al,1,0,46.01025581359863,31925,20785,88,81,36842,36842
pl_grg_32000_2.al,1,1,47.01066017150879,31925,20785,88,81,36842,36842
pl_grg_32000_2.al,1,2,48.01058769226074,31925,20785,88,81,36842,36842
pl_grg_32000_2.al,1,3,49.0109920501709,31925,20785,88,81,36842,36842
pl_grg_32000_2.al,1,4,48.01058769226074,31925,20785,88,81,36842,36842
pl_grg_32000_3.al,1,0,57.01279640197754,31925,20755,103,100,36842,36842
pl_grg_32000_3.al,1,1,60.013532638549805,31925,20755,103,100,36842,36842
pl_grg_32000_3.al,1,2,60.01400947570801,31925,20755,103,100,36842,36842
pl_grg_32000_3.al,1,3,61.01346015930176,31925,20755,103,100,36842,36842
pl_grg_32000_3.al,1,4,62.28995323181152,31925,20755,103,100,36842,36842
pl_grg_32000_4.al,1,0,53.01165580749512,31925,20538,97,88,36842,36842
pl_grg_32000_4.al,1,1,55.01198768615723,31925,20538,97,88,36842,36842
pl_grg_32000_4.al,1,2,59.01288986206055,31925,20538,97,88,36842,36842
pl_grg_32000_4.al,1,3,55.01246452331543,31925,20538,97,88,36842,36842
pl_grg_32000_4.al,1,4,54.01206016540527,31925,20538,97,88,36842,36842
pl_grg_00100_0.al,2,0,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,2,1,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,2,2,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,2,3,0.0,94,62,16,15,23026,23026
pl_grg_00100_0.al,2,4,1.0004043579101562,94,62,16,15,23026,23026
pl_grg_00100_1.al,2,0,0.0,94,47,14,13,23026,23026
pl_grg_00100_1.al,2,1,0.0,94,47,14,13,23026,23026
